companyLabel,countryLabel,shipsBuilt
Судостроительный завод «Океан»,Украина,13
Q20391268,Египет,13
Q2868911,Франция,13
Q47455441,Норвегия,13
Q56711451,Норвегия,13
Q21036308,Германия,12
Q3432552,Дания,12
Q1882681,Нидерланды,12
Q2279934,Великобритания,12
Q1475054,Великобритания,12
Q297870,Чили,12
Q7060207,США,12
Q3276860,Испания,12
Q5092878,США,12
Q5415904,Австралия,12
Q11543253,Япония,12
Q22101742,,12
Амурский судостроительный завод,Россия,12
Q131460976,Нидерланды,12
Q2956410,Франция,12
Q5709680,Испания,12
Q6137738,Великобритания,12
Alabama Drydock and Shipbuilding Company,США,12
Q7673985,США,12
Q6413598,Канада,12
Q2803924,Нидерланды,12
Q2166272,Великобритания,12
Q86718824,Норвегия,12
Q52503428,Норвегия,12
Q5895125,Китай,12
Q11288022,Великобритания,11
Q1229954,Германия,11
Q1229954,Германский рейх,11
Burmester Werft,Германия,11
Cockerill-Ougrée,Бельгия,11
Северное машиностроительное предприятие,Россия,11
Q6671056,Великобритания,11
Q7699876,,11
Q7224811,,11
Q4783172,Египет,11
Q60738807,Австралия,11
Q60429308,Япония,11
Q5458598,Великобритания,11
Q106366881,Швеция,11
Q5241717,Канада,11
Q8048969,Китай,11
Q6236952,США,11
Q115573248,Нидерланды,11
Q1280552,Великобритания,11
Q5348836,Норвегия,11
Q2792393,Бельгия,11
Q52263416,Норвегия,11
Q18029550,Нидерланды,11
Q121688957,Нидерланды,11
Q7449144,,11
Q26837618,Япония,11
Q1030916,Великобритания,10
Q1432254,Германия,10
Q6750274,США,10
Q654971,Нидерланды,10
Джейкоб Аарон Вестервельт,,10
Q2235333,Германия,10
Q7418903,Япония,10
Q56277974,Китай,10
Q106202080,Испания,10
Q118110475,Нидерланды,10
Q6503764,США,10
Q115670336,Нидерланды,10
Q124542421,Нидерланды,10
Q3460164,Франция,10
Q5895169,Китай,10
Q84569580,Нидерланды,10
Kriegsmarinewerft Wilhelmshaven,Германия,10
Q6105655,США,10
Mitsubishi,Япония,10
Q18160199,Соединённое королевство Великобритании и Ирландии,10
Q10542877,Швеция,10
Q2926119,Великобритания,10
Q3655757,Италия,10
Q122732470,Нидерланды,10
Q131983362,Бельгия,10
Q6802713,,10
Q99693171,Турция,10
Q135243132,Нидерланды,10
Q109028505,Испания,10
Q16569543,Испания,10
Chantiers et Ateliers Augustin Normand,Франция,10
Q114762497,Бразилия,10
Q17334709,Финляндия,10
Q6104227,,10
Q5152503,США,10
Q10589643,Швеция,10
Q114799410,Португалия,10
Q111058859,Нидерланды,10
Q123865141,Китай,10
Q16606610,Испания,10
Q26258863,Чехия,10
Perini Navi,Италия,10
Heesen Yachts,Нидерланды,10
Q28229446,Италия,10
Q672038,Швейцария,9
Q2438322,Великобритания,9
Q19373646,Норвегия,9
Q7705226,Османская империя,9
Q11899761,Финляндия,9
Q124463941,Финляндия,9
Q20065205,Великобритания,9
Q113571407,Нидерланды,9
Q369524,Венгрия,9
Q5079045,Великобритания,9
Q64932699,США,9
Q126907859,Китай,9
Q4650301,Индия,9
St. Johns River Shipbuilding Company,США,9
Кастелламмаре-ди-Стабия,Италия,9
Q7228607,,9
Ленинградский металлический завод,,9
Dyle et Bacalan,,9
Q126366138,США,9
Q52502852,Норвегия,9
Q1769508,Германия,9
Q870276,Германия,9
Q57305687,Норвегия,9
Рижская судоверфь,Латвия,9
Q795618,Германия,9
Q111633923,Нидерланды,9
Q2931199,Франция,9
Q55949449,Норвегия,9
Q56612012,Сингапур,9
Q86667732,Италия,9
Q1362430,Германия,8
Q1682990,Германия,8
Q4796418,Бразилия,8
Q6860129,Великобритания,8
Q15229083,Великобритания,8
Q2205021,Германия,8
Q2205021,Германский рейх,8
Q115264430,Норвегия,8
Q1021814,Германия,8
Q94972314,,8
Q3326593,Испания,8
Q14927575,Норвегия,8
Q58456899,Франция,8
Q6254386,Великобритания,8
Q2175087,Германия,8
Q2251525,Германия,8
Q60619888,Германия,8
Специя,Италия,8
Вашингтонская военно-морская верфь,США,8
Сен-Мало,Франция,8
Пульман,США,8
Арсенал Фучжоу,Китай,8
Q110655590,Швеция,8
Q10852472,Норвегия,8
Q54165966,Норвегия,8
Q20061713,Португалия,8
Q10318915,Португалия,8
Q3655744,Италия,8
Q134413277,Болгария,8
Q1715166,Германия,8
Q124423258,Китай,8
Q111725979,Польская Народная Республика,8
Q19896633,,8
Q2235344,Германия,8
Q47087469,Норвегия,8
Q4937616,Швеция,8
Q1455638,Германия,8
Q7987797,,8
Q107072312,Китай,8
Q67083915,Норвегия,8
Q122212865,Нидерланды,8
Q15635042,Германия,8
Q15635042,ГДР,8
Q812277,Германия,7
Q1549803,Великобритания,7
Q1795881,Германия,7
Q15054446,Италия,7
Q2289924,Великобритания,7
Средне-Невский судостроительный завод,Россия,7
Карлйохансверн,Норвегия,7
Q9350999,Польша,7
Q124463215,Нидерланды,7
Q845786,Бельгия,7
Q320058,Веймарская республика,7
Q2235342,Австрия,7
Q109367900,Нидерланды,7
COSCO,Китай,7
Astarsa,Аргентина,7
Q16489077,Испания,7
Q124281878,Нидерланды,7
Q1583714,Германия,7
Q18622932,Эстония,7
Q7603186,Австралия,7
Q5348781,Норвегия,7
Q4834527,Великобритания,7
Q36878065,Чехия,7
Q2499714,Великобритания,7
Q7231035,Канада,7
Q2956386,Франция,7
Кировский завод,Россия,7
General Dynamics,США,7
Q111892206,США,7
Q107663081,США,7
Q22672082,,7
