company,companyLabel,countryLabel,shipsBuilt,sizeClass,shipsInClass
http://www.wikidata.org/entity/Q11407898,Minaminippon Shipbuilding,Япония,138,5_handymax (180-200м),65
http://www.wikidata.org/entity/Q11481552,Tsuneishi Shipbuilding,Япония,600,2_прибрежное (25-100м),14
http://www.wikidata.org/entity/Q11590668,Tsuneishi Kure Dock,Япония,204,2_прибрежное (25-100м),21
http://www.wikidata.org/entity/Q13403563,Fujian Mawei Shipbuilding,Китай,137,2_прибрежное (25-100м),44
http://www.wikidata.org/entity/Q14548994,Schiffswerft Schmidt,Германия,21,2_прибрежное (25-100м),20
http://www.wikidata.org/entity/Q16993938,Herd & McKenzie Shipbuilders,Великобритания,3,2_прибрежное (25-100м),2
http://www.wikidata.org/entity/Q18287543,Cityvarvet,Швеция,21,2_прибрежное (25-100м),4
http://www.wikidata.org/entity/Q18549846,Vard Tulcea,Румыния,71,2_прибрежное (25-100м),43
http://www.wikidata.org/entity/Q65691188,Oseberg Viking Heritage Foundation,Норвегия,4,1_малое (<25м),4
http://www.wikidata.org/entity/Q127869050,Scheepswerf Gideon v/h J. Koster Hzn.,Нидерланды,3,2_прибрежное (25-100м),2
http://www.wikidata.org/entity/Q218715,Blohm + Voss,Германия,239,6_panamax (200-295м),26
http://www.wikidata.org/entity/Q1699428,John Brown & Company,Великобритания,224,2_прибрежное (25-100м),12
http://www.wikidata.org/entity/Q7258923,Puget Sound Bridge and Dredging Company,США,4,2_прибрежное (25-100м),1
http://www.wikidata.org/entity/Q82610,Newport News Shipbuilding,США,221,3_mini-handy (100-130м),6
http://www.wikidata.org/entity/Q323261,Дешимаг,Нацистская Германия,49,3_mini-handy (100-130м),22
http://www.wikidata.org/entity/Q323261,Дешимаг,Веймарская республика,49,3_mini-handy (100-130м),22
http://www.wikidata.org/entity/Q483231,Hyundai Heavy Industries,Республика Корея,1116,6_panamax (200-295м),601
http://www.wikidata.org/entity/Q530989,Балтийский завод,Россия,109,8_vlcc и крупнее (>330м),2
http://www.wikidata.org/entity/Q553599,Schichau Seebeck,Германия,111,2_прибрежное (25-100м),32
http://www.wikidata.org/entity/Q568913,Штулкен,Германия,33,2_прибрежное (25-100м),7
http://www.wikidata.org/entity/Q568913,Штулкен,Германский рейх,33,2_прибрежное (25-100м),7
http://www.wikidata.org/entity/Q807945,Barclay Curle,Великобритания,65,3_mini-handy (100-130м),4
http://www.wikidata.org/entity/Q812277,Bayerische Schiffbaugesellschaft,Германия,7,2_прибрежное (25-100м),6
http://www.wikidata.org/entity/Q889362,Bodan-Werft,Германия,48,2_прибрежное (25-100м),44
http://www.wikidata.org/entity/Q1000042,Meidericher Schiffswerft,Германия,3,2_прибрежное (25-100м),3
http://www.wikidata.org/entity/Q1151382,D. and W. Henderson and Company,Великобритания,17,2_прибрежное (25-100м),4
http://www.wikidata.org/entity/Q1548575,"R. & W. Hawthorn, Leslie and Company",Великобритания,129,4_handysize (130-180м),14
http://www.wikidata.org/entity/Q1549803,Robert Duncan and Co.,Великобритания,7,2_прибрежное (25-100м),3
http://www.wikidata.org/entity/Q1653679,IHI Corporation,Япония,87,2_прибрежное (25-100м),2
http://www.wikidata.org/entity/Q1673509,Rolandwerft,Германия,99,2_прибрежное (25-100м),33
http://www.wikidata.org/entity/Q1678193,Neue Jadewerft GmbH,Германия,19,2_прибрежное (25-100м),17
http://www.wikidata.org/entity/Q1973983,Nederlandse Scheepsbouw Maatschappij,Нидерланды,79,6_panamax (200-295м),16
http://www.wikidata.org/entity/Q1979526,Neue Schiffswerft Germersheim,Германия,5,2_прибрежное (25-100м),5
http://www.wikidata.org/entity/Q2210180,ИХЦ,Нидерланды,61,3_mini-handy (100-130м),17
http://www.wikidata.org/entity/Q3437865,Bergen Mekaniske Verksted,Норвегия,117,2_прибрежное (25-100м),45
http://www.wikidata.org/entity/Q5221477,Danziger Werft,Вольный город Данциг,6,2_прибрежное (25-100м),1
http://www.wikidata.org/entity/Q5253340,Delaware River Iron Ship Building and Engine Works,,15,3_mini-handy (100-130м),1
http://www.wikidata.org/entity/Q12358532,Aker Finnyards,Финляндия,28,6_panamax (200-295м),7
http://www.wikidata.org/entity/Q16842471,Henry Robb,Великобритания,37,3_mini-handy (100-130м),4
http://www.wikidata.org/entity/Q100235343,"Scheepswerf Peters, Kampen",Нидерланды,95,3_mini-handy (100-130м),25
http://www.wikidata.org/entity/Q1016857,Burntisland Shipbuilding Company,Великобритания,17,4_handysize (130-180м),1
http://www.wikidata.org/entity/Q1029631,Cammell Laird,Великобритания,257,6_panamax (200-295м),8
http://www.wikidata.org/entity/Q1297442,Moss Verft,Норвегия,45,2_прибрежное (25-100м),20
http://www.wikidata.org/entity/Q1475066,Furness Shipbuilding Company,Великобритания,25,4_handysize (130-180м),5
http://www.wikidata.org/entity/Q13220673,Виккерс,Великобритания,47,5_handymax (180-200м),11
http://www.wikidata.org/entity/Q323531,Flensburger Schiffbau-Gesellschaft,Германия,150,3_mini-handy (100-130м),16
http://www.wikidata.org/entity/Q489251,HD Hyundai Samho,Республика Корея,586,8_vlcc и крупнее (>330м),164
http://www.wikidata.org/entity/Q899122,Mitsui Group,Япония,5,4_handysize (130-180м),2
http://www.wikidata.org/entity/Q1327429,Fincantieri,Италия,270,5_handymax (180-200м),11
http://www.wikidata.org/entity/Q1882681,P. Smit Jr.,Нидерланды,12,2_прибрежное (25-100м),1
http://www.wikidata.org/entity/Q2235333,Schiffswerft Christof Ruthof,Германия,10,2_прибрежное (25-100м),6
http://www.wikidata.org/entity/Q2868912,Ateliers et Chantiers du Havre,Франция,38,3_mini-handy (100-130м),14
http://www.wikidata.org/entity/Q7418903,Sanoyas Hishino Meisho,Япония,10,6_panamax (200-295м),3
http://www.wikidata.org/entity/Q11484094,Imabari Shipbuilding Hiroshima Shipyard,Япония,262,6_panamax (200-295м),217
http://www.wikidata.org/entity/Q18287543,Cityvarvet,Швеция,21,6_panamax (200-295м),3
http://www.wikidata.org/entity/Q19373646,Harding Verft,Норвегия,9,2_прибрежное (25-100м),6
http://www.wikidata.org/entity/Q52503328,Simek,Норвегия,57,2_прибрежное (25-100м),55
http://www.wikidata.org/entity/Q56231733,Tsuneishi Miho Shipbuilding,Япония,73,3_mini-handy (100-130м),30
http://www.wikidata.org/entity/Q95511941,Scott shipyard,Франция,5,3_mini-handy (100-130м),6
http://www.wikidata.org/entity/Q104520543,Damen Shipyards Hardinxveld,Нидерланды,56,2_прибрежное (25-100м),37
http://www.wikidata.org/entity/Q657784,Mare Island NSY,США,48,4_handysize (130-180м),4
http://www.wikidata.org/entity/Q886896,Blyth Shipbuilding Company,Великобритания,16,3_mini-handy (100-130м),1
http://www.wikidata.org/entity/Q1063973,Charles Connell and Company,Великобритания,43,3_mini-handy (100-130м),3
http://www.wikidata.org/entity/Q2688386,Военно-морской арсенал Куре,Япония,39,5_handymax (180-200м),2
http://www.wikidata.org/entity/Q3077291,Forges et Chantiers de la Gironde,Франция,25,4_handysize (130-180м),2
http://www.wikidata.org/entity/Q13220673,Виккерс,Великобритания,47,3_mini-handy (100-130м),4
http://www.wikidata.org/entity/Q318326,Abeking & Rasmussen,Германия,64,1_малое (<25м),8
http://www.wikidata.org/entity/Q318326,Abeking & Rasmussen,Германский рейх,64,1_малое (<25м),8
http://www.wikidata.org/entity/Q323531,Flensburger Schiffbau-Gesellschaft,Германия,150,5_handymax (180-200м),24
http://www.wikidata.org/entity/Q377674,Oderwerke,Польша,15,2_прибрежное (25-100м),8
http://www.wikidata.org/entity/Q426695,New York Shipbuilding,США,165,2_прибрежное (25-100м),1
http://www.wikidata.org/entity/Q553599,Schichau Seebeck,Германия,111,4_handysize (130-180м),53
http://www.wikidata.org/entity/Q573094,Заводы Шихау,Пруссия,155,4_handysize (130-180м),11
http://www.wikidata.org/entity/Q573094,Заводы Шихау,Германский рейх,155,4_handysize (130-180м),11
http://www.wikidata.org/entity/Q634984,Federal Shipbuilding and Drydock Company,США,193,2_прибрежное (25-100м),3
http://www.wikidata.org/entity/Q648280,Mitsubishi Heavy Industries,Япония,181,4_handysize (130-180м),43
http://www.wikidata.org/entity/Q780696,Austal,Австралия,90,3_mini-handy (100-130м),10
http://www.wikidata.org/entity/Q1003299,Framnæs Mekaniske Værksted,Норвегия,25,4_handysize (130-180м),12
http://www.wikidata.org/entity/Q2061530,Swan Hunter,Великобритания,311,2_прибрежное (25-100м),21
http://www.wikidata.org/entity/Q2956394,Chantiers Dubigeon,Франция,33,4_handysize (130-180м),12
http://www.wikidata.org/entity/Q4050834,Tenix Pty Limited,Австралия,5,4_handysize (130-180м),1
http://www.wikidata.org/entity/Q4128552,Выборгский судостроительный завод,Россия,56,4_handysize (130-180м),17
http://www.wikidata.org/entity/Q11989662,Mjellem & Karlsen Verft,Норвегия,61,2_прибрежное (25-100м),47
http://www.wikidata.org/entity/Q12718333,Skaalurens Skibsbyggeri,Норвегия,20,2_прибрежное (25-100м),17
http://www.wikidata.org/entity/Q26881,Хельсингёр,Дания,3,4_handysize (130-180м),2
http://www.wikidata.org/entity/Q292745,AG Vulcan Stettin,Веймарская республика,195,3_mini-handy (100-130м),16
http://www.wikidata.org/entity/Q292745,AG Vulcan Stettin,Германская империя,195,3_mini-handy (100-130м),16
http://www.wikidata.org/entity/Q300860,Ольборгская судоверфь,Дания,81,4_handysize (130-180м),19
http://www.wikidata.org/entity/Q378849,Navantia,Испания,38,5_handymax (180-200м),3
http://www.wikidata.org/entity/Q553599,Schichau Seebeck,Германия,111,5_handymax (180-200м),6
http://www.wikidata.org/entity/Q573094,Заводы Шихау,Пруссия,155,3_mini-handy (100-130м),13
http://www.wikidata.org/entity/Q573094,Заводы Шихау,Германский рейх,155,3_mini-handy (100-130м),13
http://www.wikidata.org/entity/Q648280,Mitsubishi Heavy Industries,Япония,181,3_mini-handy (100-130м),10
http://www.wikidata.org/entity/Q670100,Sulzer,Швейцария,3,2_прибрежное (25-100м),1
http://www.wikidata.org/entity/Q689159,Армстронг Уитуорт,Великобритания,143,2_прибрежное (25-100м),9
