companyLabel,countryLabel,shipsBuilt,avgLength,latestYear,companyCoordinates
Q2298785,Нидерланды,84,140.55666666666666666667,2003,Point(4.57178235 51.905899)
Q106351770,Китай,84,194.8155125,2020,Point(119.87668 32.32121)
Q1289733,Великобритания,83,79.15103448275862068966,1912,Point(-0.1275 51.507222222)
Permanente Metals,США,83,140.37333333333333333333,1953,
Ольборгская судоверфь,Дания,82,106.35753424657534246575,1996,Point(9.917771 57.028811)
Q827085,Германия,82,107.93381578947368421053,2015,Point(9.6974 54.3094)
Херсонский судостроительный завод,Украина,82,157.12985714285714285714,2013,Point(32.587439 46.608954)
Q11962478,Норвегия,82,31.02602564102564102564,2021,Point(5.9225185 61.735868)
Q1826035,Германия,81,131.82743243243243243243,2011,Point(10.17194444 54.38888889)
Scotts Shipbuilding and Engineering Company,Великобритания,80,126.6715,1976,Point(-4.766666666 55.95)
Q3200761,Норвегия,80,51.74959459459459459459,2018,Point(5.973526111 60.217001944)
Q11535794,Япония,80,89.84810126582278481013,2013,Point(132.765555555 33.841388888)
Севастопольский морской завод,Россия,80,331,1931,Point(33.534931 44.612519)
Севастопольский морской завод,Украина,80,331,1931,Point(33.534931 44.612519)
Q115670336,Нидерланды,80,49.821,1962,Point(6.667000637 53.181063978)
Военно-морская верфь Филадельфии,США,79,141.66964,2004,Point(-75.18 39.89)
Q1973983,Нидерланды,79,193.41887323943661971831,1982,Point(4.895168 52.398742)
National Steel and Shipbuilding Company,США,79,215.75177777777777777778,2021,Point(-117.1625 32.715)
Керченский судостроительный завод,Украина,78,130.42689655172413793103,2000,Point(36.468055555 45.338611111)
Керченский судостроительный завод,Россия,78,130.42689655172413793103,2000,Point(36.468055555 45.338611111)
American Ship Building Company,США,78,261.31882352941176470588,1986,
Hyundai Vinashin Shipyard,Вьетнам,78,192.67791666666666666667,2022,Point(109.0 12.333333333)
Elbewerft Boizenburg,ГДР,76,89.13507936507936507937,2003,Point(10.7091 53.37587)
Q2594517,Нидерланды,76,117.8577027027027027027,2011,Point(6.709479 53.17297)
Q12002778,Норвегия,76,90.15714285714285714286,1930,Point(5.7521782 58.9710033)
Q109478920,Нидерланды,76,70.22,1986,Point(6.674395 53.179356)
Sun Shipbuilding & Drydock Co.,США,74,192.305,1991,Point(-75.372777777 39.847222222)
Q24887178,Япония,74,273.74140845070422535211,2014,Point(139.642527777 35.44775)
Q261421,Германия,73,134.62142857142857142857,2013,Point(13.766666666 54.05)
Q11466212,Япония,73,76.67123287671232876712,2013,Point(132.765555555 33.841388888)
Q56231733,Япония,73,94.16239436619718309859,2011,Point(138.489722222 35.015833333)
Gio. Ansaldo & C.,Италия,72,157.33972972972972972973,1965,Point(8.933983333 44.407186111)
Q1369698,Португалия,72,111.07162318840579710145,2009,Point(-8.833333333 41.7)
Q2666279,Германия,72,97.61913043478260869565,2018,Point(7.206111111 53.366944444)
Q4976260,США,72,0,1942,Point(-95.181 29.753)
Q18549846,Румыния,72,102.34171830985915492958,2020,
Q55947781,Норвегия,72,87.61115277777777777778,2021,Point(5.3234446 61.1245683)
Q113571407,Нидерланды,72,45.3975,1966,Point(6.793098 53.314732)
Q17190616,Япония,71,176.27435483870967741935,2020,Point(132.765555555 33.841388888)
Q7054594,США,69,139.9,1945,Point(-77.982916 34.229479)
Q52288275,Норвегия,69,88.94984615384615384615,2019,Point(6.4438508 62.5916854)
Q1417678,Швеция,68,102.316,1979,Point(18.163889 59.31)
Q4861094,Нидерланды,68,86.57712121212121212121,2019,Point(6.20919853 53.237452)
Волгоградский судостроительный завод,Россия,67,108.248515625,2018,Point(44.514722222 48.708611111)
Q5251665,США,67,154.66666666666666666667,1970,Point(-83.888639 43.59505)
Q5871699,Япония,67,164.24733333333333333333,1999,Point(135.502111111 34.69375)
Bethlehem Fairfield Shipyard,США,67,144.74235294117647058824,1973,Point(-76.615 39.286388888)
Charleston Naval Shipyard,США,66,138.71666666666666666667,1944,Point(-79.964722 32.860556)
Q5260949,Великобритания,66,53.10857142857142857143,1869,Point(-0.0276 51.4865)
Q20710586,США,66,215.305,2022,Point(-87.377777777 44.833611111)
Barclay Curle,Великобритания,65,178.86785714285714285714,1966,Point(-4.142222222 50.371388888)
Q316438,Германия,65,168.3944,1969,Point(9.83 53.54)
Q316438,Нацистская Германия,65,168.3944,1969,Point(9.83 53.54)
Q316438,Веймарская республика,65,168.3944,1969,Point(9.83 53.54)
Q316438,Германская империя,65,168.3944,1969,Point(9.83 53.54)
Q316438,Германский рейх,65,168.3944,1969,Point(9.83 53.54)
Q1126024,Польша,65,168.12954098360655737705,2009,Point(14.555277777 53.424722222)
Ferguson Shipbuilders,Великобритания,65,83.93557692307692307692,2016,Point(-4.69 55.94)
Q3655748,Италия,65,162.25266666666666666667,2015,Point(14.4678 40.6923)
Incat,Австралия,64,88.76370967741935483871,2021,Point(147.316666666 -42.883333333)
Q5020962,США,64,151.46958333333333333333,1945,Point(-118.25138889 33.76111111)
Судостроительная корпорация Сиэтл-Такома,США,64,134.3,1950,
Q9266563,Польша,63,85.76443333333333333333,2025,Point(18.6540233 54.3482907)
Q1267285,Германия,63,59.05576271186440677966,2001,Point(9.051111111 54.476944444)
Q2813947,Япония,63,145.09368421052631578947,2000,Point(139.71644 35.24737)
Q10727553,Швеция,63,138.78723404255319148936,2000,Point(12.837003835 55.879416408)
Q11632310,Япония,63,86.80031746031746031746,2015,Point(132.565722222 34.249222222)
Q109367900,Нидерланды,63,63.42285714285714285714,1982,Point(6.728661 53.168508)
Q1158347,Нидерланды,62,134.70838709677419354839,2012,Point(3.583333333 51.45)
Q1453164,Дания,62,119.51035087719298245614,1999,Point(10.5424 57.4372)
Q6883239,Япония,62,196.28603773584905660377,2017,Point(139.771972222 35.670583333)
Q1746543,Великобритания,61,170.07421052631578947368,1970,Point(-4.69 55.94)
Q1604557,Дания,61,122.0174576271186440678,1983,Point(12.615679 56.037953)
Q1631703,Германия,61,151.30964912280701754386,1980,Point(10.0 53.55)
Q1631703,Германский рейх,61,151.30964912280701754386,1980,Point(10.0 53.55)
Q2210573,ГДР,61,84.55465517241379310345,1993,Point(12.25 51.883333333)
Q5147321,Канада,61,185.97485714285714285714,2015,Point(-80.21797222 44.50422222)
Q11890180,Финляндия,61,96.86140350877192982456,1991,Point(24.9375 60.170833333)
Q11989662,Норвегия,61,67.07490196078431372549,2002,Point(5.3250216 60.3818024)
Q17749542,Норвегия,61,88.17283333333333333333,2018,Point(6.8979704 62.8180859)
Голландская Ост-Индская компания,Республика Соединённых провинций,60,130,1681,Point(4.35966 52.00668)
Naval Group,Франция,60,147.53648648648648648649,2016,Point(2.352222222 48.856666666)
Майдзуру,Япония,60,118.85,,Point(135.402 35.474)
